"Field","Legacy PNum(s)","Legacy Text","Base Name Source","Profile Link Value","Recommended Collection Title","Recommended Collection URL","Confidence","Rationale","Override","Disposition"
"Mask","5840","3B Medical Siesta Full Face CPAP Mask","Text","3B Medical Siesta Full Face CPAP Mask (Discontinued)","Full Face CPAP Masks","https://www.cpap.com/collections/full-face-cpap-masks","High","full face in name -> full face masks","","collection"
"Mask","5986","3B Medical Siesta Nasal CPAP Mask with Headgear - Fit Pack","Suggested Title","3B Medical Siesta Nasal CPAP Mask (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks","","collection"
"Mask","6207","AirFit F20 1 Year Resupply Bundle","Text","AirFit F20 1 Year Resupply Bundle (Discontinued)","Full Face CPAP Masks","https://www.cpap.com/collections/full-face-cpap-masks","High","resupply bundle = F20 parts -> exact F20 replacement-parts collection [THIN COLLECTION — curator attention: low product count, consider Override to parent category]","","collection"
"Mask","4693","AirFit N10 For Her Nasal CPAP Mask with Headgear","Text","AirFit N10 For Her Nasal CPAP Mask with Headgear (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks; alt: airfit-masks","","collection"
"Mask","4685","AirFit™ N10 Nasal CPAP Mask with Headgear","Text","AirFit™ N10 Nasal CPAP Mask with Headgear (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks; alt: airfit-masks","","collection"
"Mask","4499, 4483","Amara Full Face CPAP Mask with Gel & Silicone Cushions (+1 more)","Suggested Title","Amara Full Face CPAP Mask (Discontinued)","Full Face CPAP Masks","https://www.cpap.com/collections/full-face-cpap-masks","High","full face in name -> full face masks; alt: amara-full-face-mask-replacement-parts","","collection"
"Mask","5799","Apex Wizard 310 Nasal CPAP Mask","Text","Apex Wizard 310 Nasal CPAP Mask (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks; alt: apex-medical","","collection"
"Mask","5798","Apex Wizard 320 Full Face CPAP Mask","Text","Apex Wizard 320 Full Face CPAP Mask (Discontinued)","Full Face CPAP Masks","https://www.cpap.com/collections/full-face-cpap-masks","High","full face in name -> full face masks; alt: apex-medical","","collection"
"Mask","6366","Assembly Kit for Nova Nasal Mask","Text","Assembly Kit for Nova Nasal Mask (Discontinued)","CPAP Mask Kits","https://www.cpap.com/collections/cpap-mask-assembly-kits","Medium","assembly kit -> CPAP Mask Kits collection; Nova vendor unidentified; alt: nasal-cpap-masks","","collection"
"Mask","5938","Deluxe Full Face Mask with Headgear","Text","Deluxe Full Face Mask with Headgear (Discontinued)","Full Face CPAP Masks","https://www.cpap.com/collections/full-face-cpap-masks","High","full face in name -> full face masks","","collection"
"Mask","5348","DreamWear Gel Nasal Pillow CPAP Mask with Headgear - Fit Pack (All Nasal Pillows with Medium Frame)","Text","DreamWear Gel Nasal Pillow CPAP Mask with Headgear - Fit Pack (All Nasal Pillows with Medium Frame) (Discontinued)","Nasal Pillow CPAP Masks","https://www.cpap.com/collections/nasal-pillows-cpap-masks","High","nasal pillow in name -> nasal pillow masks; alt: philips-respironics-dreamwear-masks","","collection"
"Mask","5852","DreamWear Nasal CPAP Mask - Fit Pack + Mask Wipes Bundle","Text","DreamWear Nasal CPAP Mask - Fit Pack + Mask Wipes Bundle (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks; alt: philips-respironics-dreamwear-masks","","collection"
"Mask","5874","DreamWear Silicone Nasal Pillow CPAP Mask with Headgear","Text","DreamWear Silicone Nasal Pillow CPAP Mask with Headgear (Discontinued)","Nasal Pillow CPAP Masks","https://www.cpap.com/collections/nasal-pillows-cpap-masks","High","nasal pillow in name -> nasal pillow masks; alt: philips-respironics-dreamwear-masks","","collection"
"Mask","5573, 5579, 5576, 5580","DreamWisp Nasal CPAP Mask With Headgear (+3 more)","Suggested Title","DreamWisp Nasal CPAP Mask (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks; alt: dreamwisp-nasal-mask-replacement-parts","","collection"
"Mask","4230","Eson™ Nasal CPAP Mask with Headgear","Suggested Title","Eson Nasal CPAP Mask (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks; alt: eson-nasal-mask-replacement-parts","","collection"
"Mask","2876","Forma Full Face CPAP Mask with Headgear","Suggested Title","Fisher & Paykel Forma Full Face CPAP Mask (Discontinued)","Full Face CPAP Masks","https://www.cpap.com/collections/full-face-cpap-masks","High","full face in name -> full face masks; alt: forma-full-face-replacement-parts","","collection"
"Mask","2875","Zest Nasal CPAP Mask with Headgear","Suggested Title","Fisher & Paykel Zest Nasal CPAP Mask (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks; alt: fisher-paykel-cpap-masks","","collection"
"Mask","3919","Zest Q Nasal CPAP Mask with Headgear","Suggested Title","Fisher & Paykel Zest Q Nasal CPAP Mask (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks; alt: fisher-paykel-cpap-masks","","collection"
"Mask","791","FlexiFit HC405 Nasal CPAP Mask with Headgear","Text","FlexiFit HC405 Nasal CPAP Mask with Headgear (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks","","collection"
"Mask","2020","FlexiFit HC406 Petite Nasal CPAP Mask with Headgear","Text","FlexiFit HC406 Petite Nasal CPAP Mask with Headgear (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks","","collection"
"Mask","1282","FlexiFit HC407 Nasal CPAP Mask with Headgear","Text","FlexiFit HC407 Nasal CPAP Mask with Headgear (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks","","collection"
"Mask","1410","FlexiFit HC431 Full Face CPAP Mask with Headgear","Text","FlexiFit HC431 Full Face CPAP Mask with Headgear (Discontinued)","Full Face CPAP Masks","https://www.cpap.com/collections/full-face-cpap-masks","High","full face in name -> full face masks","","collection"
"Mask","2353","FlexiFit HC432 Full Face CPAP Mask with Headgear","Suggested Title","FlexiFit HC432 Full Face CPAP Mask (Discontinued)","Full Face CPAP Masks","https://www.cpap.com/collections/full-face-cpap-masks","High","full face in name -> full face masks","","collection"
"Mask","2682","Hans Rudolph 7600 Series V2 Full Face CPAP Mask with Headgear","Text","Hans Rudolph 7600 Series V2 Full Face CPAP Mask with Headgear (Discontinued)","Full Face CPAP Masks","https://www.cpap.com/collections/full-face-cpap-masks","High","full face in name -> full face masks; alt: hans-rudolph","","collection"
"Mask","5073","MiniMe 2 Nasal Pediatric Mask with Headgear","Suggested Title","MiniMe 2 Nasal Pediatric Mask (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","Medium","pediatric collection does not exist; nasal signal -> nasal masks; alt: sleepnet brand collection","","collection"
"Mask","6130","Morf Nasal Mask","Suggested Title","Morf Nasal Mask (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks","","collection"
"Mask","6208","N20 1 Year Resupply","Text","N20 1 Year Resupply (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","resupply = N20 parts -> exact N20 replacement-parts collection [THIN COLLECTION — curator attention: low product count, consider Override to parent category]","","collection"
"Mask","687","Nasal Aire II Petite Prong CPAP Mask with Headgear","Suggested Title","Nasal Aire II Petite CPAP Mask (Discontinued)","Nasal Prong CPAP Mask","https://www.cpap.com/collections/nasal-prong-cpap-masks","High","Nasal Aire II is a nasal prong mask -> Nasal Prong CPAP Mask collection [THIN COLLECTION — curator attention: low product count, consider Override to parent category]","","collection"
"Mask","6365","Nova Nasal CPAP Mask","Text","Nova Nasal CPAP Mask (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks","","collection"
"Mask","5410","Numa Full Face CPAP Mask with Headgear","Suggested Title","Numa Full Face CPAP Mask (Discontinued)","Full Face CPAP Masks","https://www.cpap.com/collections/full-face-cpap-masks","High","full face in name -> full face masks","","collection"
"Mask","1551","Oracle HC452 Oral CPAP Mask","Suggested Title","Oracle HC452 Oral CPAP Mask (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","Medium","no oral-mask category collection exists; exact-model Oracle HC452 parts page is the only Oracle page [THIN COLLECTION — curator attention: low product count, consider Override to parent category]","","collection"
"Mask","6206","P10 Year Resupply","Text","P10 Year Resupply (Discontinued)","Nasal Pillow CPAP Masks","https://www.cpap.com/collections/nasal-pillows-cpap-masks","High","resupply = P10 parts -> exact P10 replacement-parts collection [THIN COLLECTION — curator attention: low product count, consider Override to parent category]","","collection"
"Mask","4893, 4899","Pico Nasal CPAP Mask with Headgear (+1 more)","Suggested Title","Pico Nasal CPAP Mask (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks; alt: philips-respironics-cpap-masks","","collection"
"Mask","4539","Pilairo Q Nasal Pillow CPAP Mask with Headgear","Suggested Title","Pilairo Q Nasal Pillow CPAP Mask (Discontinued)","Nasal Pillow CPAP Masks","https://www.cpap.com/collections/nasal-pillows-cpap-masks","High","nasal pillow in name -> nasal pillow masks","","collection"
"Mask","4869","Quest Full Face CPAP Mask with Headgear","Suggested Title","Quest Full Face CPAP Mask (Discontinued)","Full Face CPAP Masks","https://www.cpap.com/collections/full-face-cpap-masks","High","full face in name -> full face masks; alt: hans-rudolph","","collection"
"Mask","5412","Rio II Nasal Pillow CPAP Mask with Headgear","Text","Rio II Nasal Pillow CPAP Mask with Headgear (Discontinued)","Nasal Pillow CPAP Masks","https://www.cpap.com/collections/nasal-pillows-cpap-masks","High","nasal pillow in name -> nasal pillow masks; alt: innomed-respcare","","collection"
"Mask","6178","Simplus Full Face Mask w/ 2 Cushions","Suggested Title","Simplus Full Face Mask w/ 2 Cushions (Discontinued)","Full Face CPAP Masks","https://www.cpap.com/collections/full-face-cpap-masks","High","full face in name -> full face masks; alt: simplus-full-face-mask-replacement-parts","","collection"
"Mask","5298","SleepWeaver 3D Soft Cloth Nasal CPAP Mask with Headgear","Text","SleepWeaver 3D Soft Cloth Nasal CPAP Mask with Headgear (Discontinued)","All CPAP Masks","https://www.cpap.com/collections/cpap-masks","High","SleepWeaver soft cloth -> cloth masks; alt: sleep-weaver brand collection","","collection"
"Mask","3932","SleepWeaver Advance Nasal CPAP Mask with Improved Zzzephyr Seal","Text","SleepWeaver Advance Nasal CPAP Mask with Improved Zzzephyr Seal (Discontinued)","All CPAP Masks","https://www.cpap.com/collections/cpap-masks","High","SleepWeaver cloth mask line -> cloth masks; alt: sleep-weaver","","collection"
"Mask","5138","SleepWeaver Advance Pediatric Nasal CPAP Mask with Headgear","Text","SleepWeaver Advance Pediatric Nasal CPAP Mask with Headgear (Discontinued)","All CPAP Masks","https://www.cpap.com/collections/cpap-masks","Medium","SleepWeaver cloth line -> cloth masks; pediatric collection does not exist; alt: sleep-weaver","","collection"
"Mask","4745","SleepWeaver Advance Small Soft Cloth Nasal CPAP Mask with Headgear","Text","SleepWeaver Advance Small Soft Cloth Nasal CPAP Mask with Headgear (Discontinued)","All CPAP Masks","https://www.cpap.com/collections/cpap-masks","High","SleepWeaver soft cloth -> cloth masks; alt: sleep-weaver","","collection"
"Mask","4446","SleepWeaver Anew Full Face Mask with Headgear","Text","SleepWeaver Anew Full Face Mask with Headgear (Discontinued)","All CPAP Masks","https://www.cpap.com/collections/cpap-masks","High","SleepWeaver cloth mask line -> cloth masks; alt: full-face-cpap-masks","","collection"
"Mask","4471, 4049","Single Size SleepWeaver Elan Soft Cloth Nasal CPAP Mask (+1 more)","Suggested Title","SleepWeaver Elan Nasal CPAP Mask (Discontinued)","All CPAP Masks","https://www.cpap.com/collections/cpap-masks","High","SleepWeaver cloth mask line -> cloth masks; alt: sleep-weaver","","collection"
"Mask","4482","Swift FX Nano For Her Nasal CPAP Mask with Headgear","Text","Swift FX Nano For Her Nasal CPAP Mask with Headgear (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks; alt: resmed-swift-fx-nano-replacement-parts","","collection"
"Mask","4407","Swift FX Nano Nasal CPAP Mask with Headgear","Text","Swift FX Nano Nasal CPAP Mask with Headgear (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks; alt: resmed-swift-fx-nano-replacement-parts","","collection"
"Mask","3470","Sylent Nasal CPAP Mask with Headgear - Fit Pack","Suggested Title","Sylent Nasal CPAP Mask (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks; alt: circadiance","","collection"
"Mask","1807","Ultra Mirage Full Face CPAP Mask with Headgear","Text","Ultra Mirage Full Face CPAP Mask with Headgear (Discontinued)","Full Face CPAP Masks","https://www.cpap.com/collections/full-face-cpap-masks","High","full face in name -> full face masks; alt: resmed-ultra-mirage-replacement-parts","","collection"
"Mask","5413","Viva Nasal CPAP Mask with Headgear - All Size Kit","Suggested Title","Viva Nasal CPAP Mask (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks","","collection"
"Mask","4235, 4366","Wisp Nasal CPAP Mask with Headgear - Fit Pack (+1 more)","Suggested Title","Wisp Nasal CPAP Mask (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","High","nasal in name -> nasal masks; alt: wisp-mask-replacement-parts","","collection"
"Mask","5139","Wisp Pediatric Nasal CPAP Mask with Headgear - Fit Pack","Suggested Title","Wisp Pediatric Nasal CPAP Mask (Discontinued)","Nasal CPAP Masks","https://www.cpap.com/collections/nasal-cpap-masks","Medium","pediatric collection does not exist; nasal signal -> nasal masks; alt: wisp-pediatric-mask-replacement-parts","","collection"
"Mask","6377","AirFit™ F20 Non Magnetic Complete Mask System - LGE","n/a","n/a","n/a — resolves to existing mapped product 5232","n/a — same as existing value 5232","High","Non-magnetic F20 variant = same product as existing value 5232; per handoff, review whether this belongs here at all or as an ordinary product Mapping (signed off via #32 live-dropdown diff, 2026-09-02)","","resolves-to-product"
"Mask","6378","AirFit™ F20 Non Magnetic Complete Mask System - Med","n/a","n/a","n/a — resolves to existing mapped product 5232","n/a — same as existing value 5232","High","Non-magnetic F20 variant = same product as existing value 5232; per handoff, review whether this belongs here at all or as an ordinary product Mapping (signed off via #32 live-dropdown diff, 2026-09-02)","","resolves-to-product"
